time,operating_hours,fuel_consumption(liter),engine_id
2018-03-19,645,3330.5,8711753003
2018-03-20,645,3330.5,8711753003
2018-03-21,645,3330.5,8711753003
2018-03-22,645,3330.5,8711753003
2018-03-23,645,3330.5,8711753003
2018-03-24,645,3330.5,8711753003
2018-03-25,645,3330.5,8711753003
2018-03-26,645,3330.5,8711753003
2018-03-27,645,3330.5,8711753003
2018-03-28,645,3330.5,8711753003
2018-03-29,645,3330.5,8711753003
2017-12-20,8752,4966.4,2582458400
2017-12-21,8758,4147.2,2582458400
2017-12-22,8764,4966.4,2582458400
2017-12-23,8768,4787.2,2582458400
2017-12-24,8768,4787.2,2582458400
2017-12-25,8768,4787.2,2582458400
2017-12-26,8768,4787.2,2582458400
2017-12-27,8775,4428.8,2582458400
2017-12-28,8780,4966.4,2582458400
2017-12-29,8785,4505.6,2582458400
2017-12-30,8787,4070.4,2582458400
2017-12-31,8787,4070.4,2582458400
2018-01-01,8787,4070.4,2582458400
2018-01-02,8795,3993.6,2582458400
2018-01-03,8803,4684.8,2582458400
2018-01-04,8806,4249.6,2582458400
2018-01-05,8809,4044.8,2582458400
2018-01-06,8822,4787.2,2582458400
2018-01-07,8837,4812.8,2582458400
2018-01-08,8844,4608,2582458400
2018-01-09,8848,4915.2,2582458400
2018-01-10,8851,4608,2582458400
2018-01-11,8859,4275.2,2582458400
2018-01-12,8862,4889.6,2582458400
2018-01-13,8865,4556.8,2582458400
2018-01-14,8865,4556.8,2582458400
2018-01-15,8865,4249.6,2582458400
2018-01-16,8871,4224,2582458400
2018-01-17,8878,3916.8,2582458400
2018-01-18,8891,3584,2582458400
2018-01-19,8898,4480,2582458400
2018-01-20,8903,3635.2,2582458400
2018-01-21,8920,4966.4,2582458400
2018-01-22,8926,4812.8,2582458400
2018-01-23,8931,4684.8,2582458400
2018-01-24,8942,4224,2582458400
2018-01-25,8948,4019.2,2582458400
2018-01-26,8952,3379.2,2582458400
2018-01-27,8955,4864,2582458400
2018-01-28,8955,4864,2582458400
2018-01-29,8961,4812.8,2582458400
2018-01-30,8968,4275.2,2582458400
2018-01-31,8975,4710.4,2582458400
2018-02-01,8983,4300.8,2582458400
2018-02-02,8991,3660.8,2582458400
2018-02-03,8996,4582.4,2582458400
2018-02-04,8997,3993.6,2582458400
2018-02-05,9006,4326.4,2582458400
2018-02-06,9012,4710.4,2582458400
2018-02-07,9016,4454.4,2582458400
2018-02-08,9023,4121.6,2582458400
2018-02-09,9030,4684.8,2582458400
2018-02-10,9035,4249.6,2582458400
